0.0000	0.5774	0.9107	1.5774	2.1731	
# x	frequency	linewidth
0	-6.801755576e-08	0
0.002887	-0.05107587144	0
0.005774	-0.08123000314	0
0.00866	-0.11037429062	0
0.011547	-0.13837164572	0
0.014434	-0.1646612407	0
0.017321	-0.18890867028	0
0.020207	-0.2109805247	0
0.023094	-0.23086835816	0
0.025981	-0.2486322278	0
0.028868	-0.264365035	0
0.031754	-0.278171619	0
0.034641	-0.290156911	0
0.037528	-0.3004196228	0
0.040415	-0.309049246	0
0.043301	-0.3161246242	0
0.046188	-0.321713711	0
0.049075	-0.3258734732	0
0.051962	-0.328650157	0
0.054848	-0.3300795058	0
0.057735	-0.3301866392	0
0.060622	-0.3289859804	0
0.063509	-0.3264805786	0
0.066395	-0.322661141	0
0.069282	-0.3175044114	0
0.072169	-0.3109707744	0
0.075056	-0.3030005044	0
0.077942	-0.2935083448	0
0.080829	-0.282374917	0
0.083716	-0.2694334588	0
0.086603	-0.2544477298	0
0.089489	-0.23707322606	0
0.092376	-0.21678352982	0
0.095263	-0.19271328296	0
0.09815	-0.16326139654	0
0.101036	-0.1247531296	0
0.103923	-0.06233905238	0
0.10681	0.09141550726	0.007937453605
0.109697	0.14541371988	0.007991694827
0.112583	0.1856304923	0.008097537679
0.11547	0.21972098148	0.008268053292
0.118357	0.2501622244	0.008522536305
0.121244	0.278119468	0.00880885222
0.12413	0.3042460784	0.009019936222
0.127017	0.3289490754	0.009087790728
0.129904	0.3525007574	0.009028663201
0.132791	0.3750927642	0.008892292937
0.135677	0.3968654316	0.008714205795
0.138564	0.417924683	0.008520055257
0.141451	0.4383524354	0.008329968905
0.144338	0.458213448	0.008143317196
0.147224	0.4775596782	0.007943517014
0.150111	0.4964335244	0.007727192494
0.152998	0.514870004	0.007520809955
0.155885	0.5328983264	0.00736783956
0.158771	0.5505431514	0.007271248049
0.161658	0.567825412	0.007143052561
0.164545	0.5847631372	0.006905097753
0.167432	0.6013717908	0.006623382761
0.170318	0.6176648764	0.006418303777
0.173205	0.6336542278	0.006325680165
0.176092	0.6493502026	0.006320780326
0.178979	0.6647619968	0.006384413647
0.181865	0.6798977658	0.006517533722
0.184752	0.694764818	0.006741065502
0.187639	0.7093696632	0.007100486495
0.190526	0.7237182546	0.007635058826
0.193412	0.7378159404	0.008273766355
0.196299	0.7516675848	0.008784667412
0.199186	0.7652776406	0.008985907654
0.202073	0.778650246	0.008981262649
0.204959	0.7917891762	0.009007237864
0.207846	0.804697916	0.009187212861
0.210733	0.817379805	0.009546288147
0.21362	0.8298378924	0.01001478091
0.216506	0.842075058	0.0103290442
0.219393	0.8540940606	0.01020912866
0.22228	0.8658975138	0.009706776706
0.225167	0.8774879102	0.00908121069
0.228053	0.8888676214	0.008462022856
0.23094	0.9000389948	0.007874886021
0.233827	0.9110042326	0.007367484572
0.236714	0.921765537	0.006966641363
0.2396	0.9323250134	0.006621936514
0.242487	0.942684743	0.006291037909
0.245374	0.9528467828	0.006031397131
0.248261	0.9628131656	0.005928196194
0.251147	0.9725858516	0.005998446675
0.254034	0.9821668252	0.006218909627
0.256921	0.9915580708	0.006555870868
0.259808	1.0007615244	0.00688460745
0.262694	1.0097791462	0.007019374468
0.265581	1.0186128722	0.006959014151
0.268468	1.0272646384	0.006916260924
0.271355	1.035736405	0.007068935109
0.274241	1.044030108	0.007500113928
0.277128	1.0521476592	0.008250134524
0.280015	1.0600910672	0.009181690054
0.282902	1.0678622196	0.009992790997
0.285788	1.075463125	0.01054312819
0.288675	1.0828957194	0.01091896061
0.291562	1.0901619388	0.01120599191
0.294449	1.0972637918	0.01135536216
0.297335	1.1042032144	0.01122905298
0.300222	1.1109821668	0.01084161501
0.303109	1.1176026576	0.01040600696
0.305996	1.124066647	0.0100681714
0.308882	1.1303760952	0.009823010881
0.311769	1.1365329866	0.0096236554
0.314656	1.1425392814	0.009386941891
0.317543	1.148396964	0.009016875128
0.320429	1.1541080188	0.008569855651
0.323316	1.1596744302	0.008232894796
0.326203	1.1650981342	0.008108314152
0.32909	1.1703811152	0.008180084352
0.331976	1.1755253818	0.008409010557
0.334863	1.18053287	0.008739127647
0.33775	1.1854055884	0.009077291129
0.340637	1.190145473	0.009343972114
0.343523	1.1947545566	0.009525028316
0.34641	1.1992347994	0.009647619017
0.349297	1.2035881858	0.009726901194
0.352184	1.2078167486	0.009743101481
0.35507	1.211922448	0.009662027349
0.357957	1.215907341	0.009457497862
0.360844	1.2197734604	0.009133350601
0.363731	1.2235228148	0.008770836805
0.366617	1.2271574854	0.008476587414
0.369504	1.2306795534	0.008267739294
0.372391	1.2340911	0.008108417787
0.375278	1.2373942306	0.008009259381
0.378164	1.240591099	0.007959547154
0.381051	1.2436838348	0.007811448369
0.383938	1.2466746402	0.007440522365
0.386825	1.2495656932	0.006950806119
0.389711	1.2523592444	0.006535836094
0.392598	1.255057496	0.006276575052
0.395485	1.257662747	0.006152833154
0.398372	1.2601772964	0.006125661112
0.401258	1.2626034432	0.006170848597
0.404145	1.2649434864	0.006275305139
0.407032	1.2671998218	0.006427371823
0.409919	1.2693747726	0.00660921186
0.412805	1.2714707346	0.006782588259
0.415692	1.273490031	0.006885830959
0.418579	1.2754350818	0.006872826337
0.421466	1.2773082344	0.006757939415
0.424352	1.2791118846	0.006603299262
0.427239	1.2808483314	0.006458918956
0.430126	1.2825199464	0.00632438589
0.433013	1.2841290286	0.006167184255
0.435899	1.2856778528	0.005969218564
0.438786	1.2871686454	0.005760974079
0.441673	1.2886036328	0.00560401065
0.44456	1.2899849446	0.005504691765
0.447446	1.2913146862	0.005389804456
0.450333	1.2925949146	0.005229214582
0.45322	1.2938275658	0.005093867905
0.456107	1.2950145758	0.005085225999
0.458993	1.2961577838	0.005274511888
0.46188	1.2972589322	0.005678596005
0.464767	1.2983196908	0.006278176365
0.467654	1.299341681	0.007043197326
0.47054	1.3003263548	0.00792768177
0.473427	1.3012751884	0.008856851378
0.476314	1.3021894886	0.009728516815
0.479201	1.3030704654	0.01043253129
0.482087	1.3039193288	0.01088191735
0.484974	1.3047371194	0.01104164257
0.487861	1.305524781	0.01094023127
0.490748	1.3062832332	0.01065820692
0.493634	1.3070132746	0.01029826388
0.496521	1.3077156312	0.009944671962
0.499408	1.3083909564	0.00964175669
0.502295	1.3090398068	0.009413758558
0.505181	1.3096626664	0.009285063458
0.508068	1.310259995	0.009238869401
0.510955	1.3108321556	0.009175861756
0.513842	1.3113794386	0.009004745215
0.516728	1.3119021102	0.008751542942
0.519615	1.312400364	0.008543865741
0.522502	1.3128743694	0.008531189039
0.525389	1.3133242474	0.0088000363
0.528275	1.3137500464	0.009355443869
